date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:28	4355/4355	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Sep%202015%2017:59:57%20GMT	http://edwardbartonandthebabymen.com/	C:/ebb/ebb/edwardbartonandthebabymen.com/index.html	(from )
19:00:28	1490/1490	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Sep%202015%2017:59:58%20GMT	http://edwardbartonandthebabymen.com/robots.txt		(from )
19:00:29	5625/5625	---M--	200	added ('OK')	image/x-icon	etag:%2215f9-4e5e595a032a8%22	http://edwardbartonandthebabymen.com/favicon.ico	C:/ebb/ebb/edwardbartonandthebabymen.com/favicon.ico	(from http://edwardbartonandthebabymen.com/)
19:00:29	2692/2692	---M--	200	added ('OK')	image/jpeg	etag:%22a84-4e605a627999b%22	http://edwardbartonandthebabymen.com/img/blank.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/blank.jpg	(from http://edwardbartonandthebabymen.com/)
19:00:30	2163/2163	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Sep%202015%2017:59:59%20GMT	http://edwardbartonandthebabymen.com/page1.html	C:/ebb/ebb/edwardbartonandthebabymen.com/page1.html	(from http://edwardbartonandthebabymen.com/)
19:00:33	38668/38668	---M--	200	added ('OK')	image/jpeg	etag:%22970c-4e56bf212d212%22	http://edwardbartonandthebabymen.com/img/babymen.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/babymen.jpg	(from http://edwardbartonandthebabymen.com/)
19:00:33	12376/12376	---M--	200	added ('OK')	image/jpeg	etag:%223058-4e6189008aca7%22	http://edwardbartonandthebabymen.com/img/handsom_line.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/handsom_line.jpg	(from http://edwardbartonandthebabymen.com/)
19:00:33	1715/1715	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Sep%202015%2018:00:03%20GMT	http://edwardbartonandthebabymen.com/page2.html	C:/ebb/ebb/edwardbartonandthebabymen.com/page2.html	(from http://edwardbartonandthebabymen.com/)
19:00:34	1844/1844	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Sep%202015%2018:00:03%20GMT	http://edwardbartonandthebabymen.com/page7.html	C:/ebb/ebb/edwardbartonandthebabymen.com/page7.html	(from http://edwardbartonandthebabymen.com/)
19:00:35	11366/11366	---M--	200	added ('OK')	image/jpeg	etag:%222c66-4e618900919fc%22	http://edwardbartonandthebabymen.com/img/live_line.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/live_line.jpg	(from http://edwardbartonandthebabymen.com/)
